dataset_id,category,custodian,endpoint,access_method,http_status,format,native_crs,licence,vintage,size_or_count,intended_use,notes
srtm_gl1_30m,elevation,NASA/OpenTopography,https://opentopography.s3.sdsc.edu/raster/SRTM_GL1/SRTM_GL1_srtm.vrt,GDAL /vsicurl/ windowed read,200,"VRT mosaic of GeoTIFF tiles, 1 arc-second (~30 m)",EPSG:4326,NASA public domain (attribution requested),SRTM (2000 mission),6.2 MB,Working scripted route to 1-second elevation; windowed clip sampled,
srtm_gl3_90m,elevation,NASA/OpenTopography,https://opentopography.s3.sdsc.edu/raster/SRTM_GL3/SRTM_GL3_srtm.vrt,GDAL /vsicurl/ windowed read,200,"VRT mosaic of GeoTIFF tiles, 3 arc-second (~90 m)",EPSG:4326,NASA public domain (attribution requested),SRTM (2000 mission),6.4 MB,Coarser screening-friendly product; windowed clip sampled,
ga_dem_services,elevation,Geoscience Australia,https://services.ga.gov.au/gis/rest/services/DEM_SRTM_1Second_Hydro_Enforced/MapServer,ArcGIS REST (scripted),403,MapServer/ImageServer,EPSG:4283 (documented),CC BY 4.0,GA SRTM-derived 1s DEM suite (2011),,Authoritative national DEM (DEM/DEM-S/DEM-H); expect 403 to scripted clients — interactive ELVIS portal remains available to humans,
ga_elvis_portal,elevation,Geoscience Australia,https://elevation.fsdf.org.au/,Interactive portal only,200,Various (tile downloads),EPSG:4283,CC BY 4.0,current,,Browser download route for GA DEM tiles,
csiro_slope_1s,elevation,CSIRO,https://data.csiro.au/collection/csiro:5588,Portal page (registration),200,"Esri Grid, 1 arc-second",EPSG:4283,CC BY,2011 (derived from GA DEM-S),,"Pre-computed national slope exists (checklist B); register only — national grid too large for this task, slope derived from sampled DEM clips instead",
ne_land_50m,coastline,Natural Earth,https://raw.githubusercontent.com/nvkelso/natural-earth-vector/master/geojson/ne_50m_land.geojson,HTTP GeoJSON download,200,"GeoJSON, 1:50m generalisation",EPSG:4326,Public domain,NE master,529.8 KB,The prototype's land-mask source; sampled for the mask-adequacy assessment,
dea_coastlines,coastline,Geoscience Australia (DEA),https://data.dea.ga.gov.au/?prefix=derivative/dea_coastlines/,S3 public bucket,200,GeoPackage/Shapefile,EPSG:3577,CC BY 4.0,annual shorelines 1988–,,Higher-fidelity coastline option; register only,
dea_waterbodies,water,Geoscience Australia (DEA),https://data.dea.ga.gov.au/?prefix=derivative/dea_waterbodies/,S3 public bucket,200,GeoPackage/Shapefile polygons,EPSG:3577,CC BY 4.0,"Landsat-derived, current",,Inland waterbody polygons; register only,
osm_australia_pbf,roads,OpenStreetMap/Geofabrik,https://download.geofabrik.de/australia-oceania/australia-latest.osm.pbf,HTTP pbf download,200,OSM PBF (roads via highway=* tags),EPSG:4326,ODbL,continuous,958.7 MB,"Secondary priority per checklist F: size recorded, not sampled",
nationalmap,portal,Digital Atlas of Australia / TerriaJS,https://nationalmap.gov.au/,Interactive portal,200,WMS/WFS/ArcGIS proxies,various,various,current,,Aggregates the same custodial services probed above; discovery only,
data_gov_au,portal,data.gov.au (CKAN),https://data.gov.au/data/api/3/action/package_search?q=CAPAD&rows=1,CKAN API,200,catalogue JSON,n/a,various,current,,Catalogue used for discovery; intermittently slow — never load-bearing,
